,Price,Space,Rooms,Market,Year,elevator,Parking place,balkon,taras,ogródek,district,street,level,max_level
995,632000,55,3,wtórny,2021,1,1,0,0,0, Białołęka,Sprawna,2,2
5898,688000,55,3,wtórny,1980,0,0,0,0,0, Mokotów, Bukowińska,3,10
188,599900,55,2,wtórny,2005,0,0,0,0,0, Targówek,Wyspowa,2,3
4990,1059000,55,3,wtórny,1958,0,0,0,0,0, Śródmieście,Karmelicka,3,4
8730,659000,55,3,wtórny,1983,1,1,0,0,0, Mokotów, Bernardyńska,1,12
8176,599000,55,3,wtórny,2020,0,1,0,0,0, Białołęka,Kąty Grodziskie,0,2
9812,943500,55,2,wtórny,2006,1,1,0,0,0, Mokotów, Sułkowicka,7,9
95,799000,55,3,wtórny,2010,1,0,0,0,0, Bemowo, M. Coopera 9B,1,3
4368,630000,55,3,wtórny,1968,0,0,0,0,0, Ochota,Adolfa Pawińskiego,0,3
1755,630000,55,3,wtórny,1968,0,0,0,0,0, Ochota,Adolfa Pawińskiego,0,3
23244,630000,55,3,wtórny,1968,0,0,0,0,0, Ochota,Adolfa Pawińskiego,0,3
11351,599000,55,3,wtórny,2020,0,1,0,0,0, Białołęka,Kąty Grodziskie,0,2
8099,730000,55,2,wtórny,2022,0,1,0,0,0, Ochota, Włodarzewska,1,3
5977,700000,55,2,wtórny,1986,1,0,0,0,0, Ursynów, Ursynów,0,8
9994,745000,55,2,wtórny,2022,1,1,0,0,0, Wilanów, Wilanów,1,2
10251,640000,55,3,wtórny,1974,0,0,0,0,0, Bielany, Bielany,4,8
2301,700000,55,2,wtórny,1986,1,0,0,0,0, Ursynów, Ursynów,0,8
12910,700000,55,2,wtórny,1986,1,0,0,0,0, Ursynów, Ursynów,0,8
6787,599000,55,3,wtórny,2020,0,1,0,0,0, Białołęka,Kąty Grodziskie,0,2
13379,700000,55,2,wtórny,1986,1,0,0,0,0, Ursynów, Ursynów,0,8
4447,700000,55,2,wtórny,1986,1,0,0,0,0, Ursynów, Ursynów,0,8
11506,700000,55,2,wtórny,1986,1,0,0,0,0, Ursynów, Ursynów,0,8
3597,765000,55,2,wtórny,2009,1,1,0,0,0, Wilanów, Sarmacka,3,4
1562,599000,55,3,wtórny,2020,0,1,0,0,0, Białołęka,Kąty Grodziskie,0,2
13167,1480000,55,3,wtórny,2007,1,0,0,0,0, Mokotów, Górny Mokotów,1,8
14904,699000,55,2,wtórny,2012,1,1,0,0,0, Białołęka, Oczary,1,2
