Address,Price,Space,Rooms,Market,Year,Evelevator,Balcony,Level,Parking place
"Warszawa, Mokotów, Czerniakowska",499000,38,2,wtórny,1970,"system alarmowy, monitoring / ochrona",,parter/10,garaż/miejsce parkingowe
"Warszawa, Bemowo, Nowe Górce, Górczewska",629000,63,2,wtórny,1997,meble,balkon,5/7,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Gocław, Grzegorza Przemyka",799000,78,4,wtórny,1990,monitoring / ochrona,,1/3,
"Warszawa, Ursynów, Zygmunta Pawlaczyka",719000,74.48,4,wtórny,1991,monitoring / ochrona,balkon,3/3,
"Warszawa, Praga-Południe, Gocław",449000,39.3,2,wtórny,1999,monitoring / ochrona,balkon,4/4,
"Warszawa, Ursynów, Marii Grzegorzewskiej",585000,62.9,3,wtórny,1982,monitoring / ochrona,balkon,1/10,
"Warszawa, Białołęka, Nowodwory, Strumykowa",629000,71,3,wtórny,2000,monitoring / ochrona,,5/6,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Floriana Znanieckiego",659000,61,3,wtórny,2022-07-01,tak,,parter/4,
"ul. Dionizosa, Warszawa, mazowieckie",,55.7,3,,,,ogródek,1/8,garaż/miejsce parkingowe
"Warszawa, Bemowo, ul. Babimojska",,70.52,4,,,,balkon,3/5,garaż/miejsce parkingowe
"Warszawa, Rembertów, ul. Kramarska",497000,54.58,3,wtórny,2008,tak,balkon,2,garaż/miejsce parkingowe
"Warszawa, Wilanów, Sarmacka",1740000,107,4,wtórny,2022-08-31,drewniane,taras,2/4,
"Warszawa, Mokotów, Stegny",595000,56.5,3,wtórny,1974,tak,balkon,5/10,
"Warszawa, Wilanów, Adama Branickiego",1199000,77.86,4,wtórny,2017,tak,balkon,2/3,garaż/miejsce parkingowe
"ul. Dionizosa, Warszawa, mazowieckie",,66.9,4,,,,ogródek,1/8,garaż/miejsce parkingowe
"Warszawa, Ursynów, ul. Batystowa",1576800,86.78,3,,,,balkon,1/4,
"Warszawa, Mokotów, Stegny",663520,51.04,2,pierwotny,2021,tak,balkon,4/4,garaż/miejsce parkingowe
"Warszawa, Mokotów",1028160,73.44,3,pierwotny,2021,tak,balkon,3/4,garaż/miejsce parkingowe
"Warszawa, Ursynów, ul. Batystowa",1611600,96.39,4,,,,balkon,1/4,
"Warszawa, Mokotów, Konstancińska",779700,56.5,4,wtórny,2022-09-01,plastikowe,balkon,1/4,
"Warszawa, Białołęka, ul. Zamknięta",,70.04,3,,,,balkon,3/4,garaż/miejsce parkingowe
"Warszawa, Targówek, ul. Żytomierska",632979,62.04,3,,,,,3/6,garaż/miejsce parkingowe
"Warszawa, Wilanów, ul. Adama Branickiego",995000,56.73,2,wtórny,2011,tak,balkon,2/4,garaż/miejsce parkingowe
"Warszawa, Mokotów, Jana Maklakiewicza",436000,38,2,wtórny,1970,tak,,parter/10,
"Warszawa, Śródmieście, Bagno",575000,34.14,2,wtórny,1967,tak,,&gt; 10/15,
"Warszawa, Ursus, Skorosze, Skoroszewska",650000,59,3,wtórny,2014,tak,balkon,4/8,garaż/miejsce parkingowe
"Warszawa, Mokotów, ul. Edwarda Józefa Abramowskiego",1015000,58.6,3,,,,balkon,1/8,garaż/miejsce parkingowe
"Warszawa, Wola",750000,53,2,wtórny,2002,"telewizja kablowa, internet",balkon,6/9,garaż/miejsce parkingowe
"Warszawa, Ursynów, ul. Batystowa",2144200,122.16,5,,,,ogródek,parter/4,
"Warszawa, Białołęka, Przejezdna",631800,52.66,3,wtórny,2021,tak,balkon,2/3,garaż/miejsce parkingowe
"Warszawa, Włochy, Stare Włochy",759000,53.08,2,wtórny,2019,nie,ogródek,parter/3,garaż/miejsce parkingowe
"Warszawa, Wola, Odolany",635000,37.4,2,wtórny,2014,tak,"ogródek, taras",parter/6,garaż/miejsce parkingowe
"Warszawa, Ursynów, ul. Batystowa",2144200,122.16,5,,,,ogródek,parter/4,
"Warszawa, Centrum",699000,32,1,wtórny,nie,,,6,
"Warszawa, Targówek, Bródno, Krasnobrodzka",520000,54.8,3,wtórny,1976,tak,balkon,7/10,
"Warszawa, Włochy, ul. Obywatelska",,53.13,2,,,,balkon,3/5,garaż/miejsce parkingowe
"Warszawa, Włochy, ul. Obywatelska",,29.8,1,,,,balkon,3/5,garaż/miejsce parkingowe
"Warszawa, Wola, ul. Ludwiki",,51.75,2,,,,balkon,1/8,garaż/miejsce parkingowe
"Warszawa, Mokotów, ul. Edwarda Józefa Abramowskiego",482000,27.33,1,,,,taras,1/8,garaż/miejsce parkingowe
