,Address,Price,Space,Rooms,Market,Year,Evelevator,Balcony,Level,Parking place
143,"Warszawa, Bemowo, ul. Babimojska",,35.39,2,,,,balkon,1/5,garaż/miejsce parkingowe
144,"Warszawa, Ursus, ul. Balicka",,46.68,2,,,,balkon,1/7,garaż/miejsce parkingowe
145,"Warszawa, Targówek, ul. Zamkowa",,72.71,4,,,,balkon,3/3,garaż/miejsce parkingowe
146,"Warszawa, Targówek, ul. Zamkowa",,38.16,1,,,,,2/3,garaż/miejsce parkingowe
147,"Warszawa, Śródmieście, Powiśle, ul. Okrąg",949000.0,50.0,2,wtórny,1963,tak,balkon,5/9,garaż/miejsce parkingowe
148,"Warszawa, Wawer, ul. Przygodna",,75.59,4,,,,balkon,2/2,
149,"Warszawa, Mokotów, F. Joliot Curie 11a",608000.0,36.3,2,wtórny,1969,nie,,2/10,
150,"ul. Herbu Oksza, Warszawa, mazowieckie",,54.18,2,,,,balkon,2/7,garaż/miejsce parkingowe
151,"Warszawa, Praga-Południe, Gocław, Znanieckiego",540000.0,60.0,3,wtórny,1980,nie,balkon,3/4,
152,"Warszawa, Ursus, ul. Balicka",,60.21,3,,,,,1/7,garaż/miejsce parkingowe
153,"Warszawa, Wola",970000.0,67.0,3,wtórny,1958,"piwnica, oddzielna kuchnia",balkon,2,
154,"Warszawa, Bemowo, Witolda Doroszewskiego",450000.0,38.4,2,wtórny,blok,oddzielna kuchnia,balkon,2/11,
155,"Warszawa, Włochy, ul. Altowa",,31.86,2,,,,"taras, ogródek",parter/6,garaż/miejsce parkingowe
156,"Warszawa, Ochota, ul. Karola Dickensa",440000.0,36.0,2,wtórny,blok,"domofon / wideofon, monitoring / ochrona",,4/4,
157,"Warszawa, Ursynów, Kabaty",1077000.0,59.2,2,wtórny,2005,tak,taras,1/8,garaż/miejsce parkingowe
158,"Warszawa, Mokotów, Dolny Mokotów",2250000.0,113.5,3,wtórny,2006,tak,balkon,1/3,garaż/miejsce parkingowe
159,"Warszawa, Targówek, ul. Zamkowa",,79.57,4,,,,balkon,1/3,garaż/miejsce parkingowe
160,"Warszawa, Mokotów, Bokserska",,60.52,3,,,,,6/6,garaż/miejsce parkingowe
161,"Warszawa, Praga-Południe, ul. Podskarbińska",504505.0,38.81,2,,,,balkon,1/4,garaż/miejsce parkingowe
162,"Warszawa, Bielany, ul. Sokratesa",1613180.0,106.13,5,,,,taras,6/6,garaż/miejsce parkingowe
163,"Warszawa, Bielany, ul. Sokratesa",807576.0,70.84,3,,,,balkon,1/6,garaż/miejsce parkingowe
164,"Warszawa, Bielany, ul. Sokratesa",696360.0,49.74,2,,,,ogródek,parter/6,garaż/miejsce parkingowe
165,"ul. Dionizosa, Warszawa, mazowieckie",,66.9,4,,,,balkon,2/8,garaż/miejsce parkingowe
166,"Warszawa, Białołęka, ul. Okrągła",,36.42,2,,,,,parter/3,garaż/miejsce parkingowe
167,"Warszawa, Ursus, ul. Tadeusza Hennela",440037.0,37.61,1,,,,,6/7,garaż/miejsce parkingowe
168,"Warszawa, Białołęka, ul. Okrągła",,25.58,1,,,,,parter/3,garaż/miejsce parkingowe
169,"Warszawa, Ochota, ul. Tadeusza Joteyki",,84.7,4,,,,"taras, ogródek",parter/5,garaż/miejsce parkingowe
170,"Warszawa, Ochota, ul. Tadeusza Joteyki",,64.54,3,,,,,1/5,garaż/miejsce parkingowe
171,"Warszawa, Ochota, ul. Tadeusza Joteyki",,134.29,5,,,,,2/5,garaż/miejsce parkingowe
172,"Warszawa, Ochota, ul. Tadeusza Joteyki",,38.8,2,,,,balkon,1/5,garaż/miejsce parkingowe
173,"Warszawa, Praga-Południe, ul. Podskarbińska",,42.97,2,,,,balkon,4/6,garaż/miejsce parkingowe
174,"ul. Armanda Călinescu, Warszawa, mazowieckie",,49.61,3,,,,balkon,1/5,
175,"ul. Armanda Călinescu, Warszawa, mazowieckie",,30.07,1,,,,,2/5,
176,"ul. Armanda Călinescu, Warszawa, mazowieckie",,25.18,2,,,,,4/5,
177,"Warszawa, Ursus, Poczty Gdańskiej",739999.0,100.0,3,wtórny,2022-05-09,nie,"balkon, taras",3/4,garaż/miejsce parkingowe
178,"Warszawa, Ursus, ul. Tadeusza Hennela",456228.0,40.02,2,,,,,parter/7,garaż/miejsce parkingowe
179,"Warszawa, Bemowo, ul. Wieśniacza",,44.57,2,,,,balkon,4/6,garaż/miejsce parkingowe
180,"Warszawa, Bielany",465000.0,37.33,1,wtórny,1959,monitoring / ochrona,balkon,3/4,
181,"ul. Dionizosa, Warszawa, mazowieckie",,59.9,3,,,,balkon,2/8,garaż/miejsce parkingowe
182,"Warszawa, Praga-Południe, ul. Chodakowska",,31.67,2,,,,balkon,2/6,garaż/miejsce parkingowe
183,"Warszawa, Żoliborz",549000.0,36.8,2,wtórny,1939,nie,balkon,3,
184,"ul. Dionizosa, Warszawa, mazowieckie",,66.9,4,,,,ogródek,1/8,garaż/miejsce parkingowe
185,"Warszawa, Żoliborz, Sady Żoliborskie",519000.0,32.0,2,wtórny,1967,tak,,4/10,
186,"Warszawa, Targówek, ul. Baryczków",694624.0,62.02,3,,,,,3/6,garaż/miejsce parkingowe
187,"Warszawa, Praga-Południe, ul. Chodakowska",,49.51,3,,,,ogródek,parter/6,garaż/miejsce parkingowe
188,"Warszawa, Targówek, ul. Wyspowa",599900.0,55.0,2,wtórny,2005,nie,balkon,2/3,
189,"Warszawa, Mokotów, Górny Mokotów, ul. Antoniego Józefa Madalińskiego",673530.0,47.1,3,wtórny,blok,piwnica,balkon,3/4,
190,"Warszawa, Mokotów, Karola Chodkiewicza",1990000.0,90.0,3,wtórny,plastikowe,,balkon,1/6,garaż/miejsce parkingowe
191,"Warszawa, Bemowo, ul. Rozłogi",,68.57,4,,,,"taras, ogródek",parter/6,garaż/miejsce parkingowe
192,"Warszawa, Białołęka, ul. Kazimierza Szałasa",,49.92,2,pierwotny,2024-02-28,plastikowe,balkon,2/4,garaż/miejsce parkingowe
193,"Warszawa, Wola, Grzybowska",910000.0,44.52,2,wtórny,2022-03-29,"zmywarka, lodówka, meble, kuchenka, telewizor",balkon,3/23,
194,"Warszawa, Mokotów, Sułkowicka",1700055.0,125.93,3,wtórny,2022-04-19,nie,balkon,5/10,garaż/miejsce parkingowe
195,"Warszawa, Mokotów, ul. Tadeusza Hołówki 3",1540000.0,94.3,3,wtórny,1932,nie,,parter/3,
196,"Warszawa, Rembertów, al. Aleja gen. Antoniego Chruściela ""Montera""",574173.0,43.83,2,wtórny,2021,tak,balkon,5/5,garaż/miejsce parkingowe
197,"Warszawa, Bielany",689900.0,45.68,2,wtórny,1956,nie,balkon,2/4,
198,"Warszawa, Śródmieście, Stare Miasto, Jezuicka",1050000.0,52.0,2,wtórny,kamienica,,,3/4,
199,"Warszawa, Białołęka, ul. Okrągła",,80.28,4,,,,balkon,1/3,garaż/miejsce parkingowe
200,"Warszawa, Mokotów, ul. Bokserska",582743.0,37.0,2,,,,"taras, ogródek",parter/10,garaż/miejsce parkingowe
201,"ul. Herbu Oksza, Warszawa, mazowieckie",,90.54,5,,,,balkon,2/7,garaż/miejsce parkingowe
202,"Warszawa, Śródmieście, Grzybowska",3600000.0,135.3,5,wtórny,2022-04-11,tak,,2/10,garaż/miejsce parkingowe
203,"Warszawa, Wola, Ulrychów, Górczewska Park",645000.0,50.0,2,wtórny,2010,tak,balkon,1/5,garaż/miejsce parkingowe
